Description,Drivetrain,Manufacturer,ModelNumber,ModelYear,Package,PassDoors,Style_ID,TrimName
Preferred Fwd W/trend Package,FRONT_WHEEL_DRIVE,HYUNDAI,KEEW5ZE4PRTR,2026,481447,4,Sport Utility,Preferred
Preferred Fwd W/ultimate Package,FRONT_WHEEL_DRIVE,HYUNDAI,KEEW5ZE4PRUP,2026,481448,4,Sport Utility,Preferred
Preferred Fwd W/ultimate Package Two-Tone,FRONT_WHEEL_DRIVE,HYUNDAI,KEEW5ZE4PRUT,2026,481449,4,Sport Utility,Preferred
Preferred Trend Awd,ALL_WHEEL_DRIVE,HYUNDAI,PACW8K3FPRTR,2026,480186,4,Sport Utility,Preferred Trend
Ultimate Calligraphy Awd,ALL_WHEEL_DRIVE,HYUNDAI,PACW7K3FULCA,2026,480187,4,Sport Utility,Ultimate Calligraphy
Xrt Pro Awd,ALL_WHEEL_DRIVE,HYUNDAI,PACW7K3FXP00,2026,480188,4,Sport Utility,XRT Pro
Luxury 8-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,PAHW8G2DLU8H,2026,480297,4,Sport Utility,Luxury
Luxury 7-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,PAHW7G2DLU7H,2026,480298,4,Sport Utility,Luxury
Ultimate Calligraphy Awd,ALL_WHEEL_DRIVE,HYUNDAI,PAHW7G2DULCH,2026,480299,4,Sport Utility,Ultimate Calligraphy
Ultimate Calligraphy Nhl Special Edition Awd,ALL_WHEEL_DRIVE,HYUNDAI,PAHW7G2DULCH,2026,481523,4,Sport Utility,Ultimate Calligraphy NHL Special Edition
Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,SAHW7G1APRHE,2026,480189,4,Sport Utility,Preferred
Preferred Awd W/trend Package,ALL_WHEEL_DRIVE,HYUNDAI,SAHW7G1APRTH,2026,480190,4,Sport Utility,Preferred
Luxury Awd,ALL_WHEEL_DRIVE,HYUNDAI,SAHW7G1ALUHE,2026,480191,4,Sport Utility,Luxury
Ultimate Calligraphy Awd,ALL_WHEEL_DRIVE,HYUNDAI,SAHW6G1AULBG,2026,480192,4,Sport Utility,Ultimate Calligraphy
Ultimate Calligraphy Awd W/beige,ALL_WHEEL_DRIVE,HYUNDAI,SAHW6G1AULBH,2026,480193,4,Sport Utility,Ultimate Calligraphy
N-Line Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,SOCS4M2DNL00,2026,480134,4,4dr Car,N Line
Preferred-Trend Awd,ALL_WHEEL_DRIVE,HYUNDAI,SOCS4K2EPRTR,2026,480135,4,4dr Car,Preferred-Trend
Preferred-Trend Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,SHHS4F2FPRTH,2026,480136,4,4dr Car,Preferred-Trend
Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,TUCWDK2EPR00,2026,480578,4,Sport Utility,Preferred
