Description,Drivetrain,Manufacturer,ModelName,ModelNumber,ModelYear,Package,PassDoors,TrimName
2.0l Essential Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,,KO1SAF20A100,2022,420919,4,Essential
2.0l Preferred Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,,KO1SAF20A200,2022,420920,4,Preferred
2.0l Essential Awd,ALL_WHEEL_DRIVE,HYUNDAI,,KO1SAA20A100,2022,420921,4,Essential
2.0l Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,,KO1SAA20A200,2022,420922,4,Preferred
2.0l Preferred Awd W/sun & Leather Package,ALL_WHEEL_DRIVE,HYUNDAI,,KO1SAA20A268,2022,420923,4,Preferred
1.6t N-Line Awd,ALL_WHEEL_DRIVE,HYUNDAI,,KO1SDA16DO00,2022,420924,4,N Line
1.6t N-Line Awd W/two-Tone Roof,ALL_WHEEL_DRIVE,HYUNDAI,,KO1SDA16DO66,2022,420925,4,N Line
1.6t N-Line Awd W/ultimate Package,ALL_WHEEL_DRIVE,HYUNDAI,,KO1SDA16DO20,2022,420926,4,N Line
2.0l Essential Value Edition Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,,KO1SAF20A1AL,2022,424453,4,Essential Value Edition
2.0l Preferred Special Edition Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,,KO1SAF20A235,2022,424454,4,Preferred Special Edition
2.0l Essential Value Edition Awd,ALL_WHEEL_DRIVE,HYUNDAI,,KO1SAA20A1AL,2022,424455,4,Essential Value Edition
2.0l Preferred Special Edition Awd,ALL_WHEEL_DRIVE,HYUNDAI,,KO1SAA20A235,2022,424456,4,Preferred Special Edition
2.0l Le Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,,KO1SAF20AW00,2022,426611,4,LE
2.0l Le Plus Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,,KO1SAF20AWAU,2022,426612,4,LE Plus
1.6t Le N-Line Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,,KO1SDF16DWAT,2022,426613,4,LE N Line
2.0l Le Awd,ALL_WHEEL_DRIVE,HYUNDAI,,KO1SAA20AW00,2022,426614,4,LE
2.0l Le Plus Awd,ALL_WHEEL_DRIVE,HYUNDAI,,KO1SAA20AWAU,2022,426615,4,LE Plus
1.6t Le N-Line Awd,ALL_WHEEL_DRIVE,HYUNDAI,,KO1SDA16DWAT,2022,426616,4,LE N Line
Preferred Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,,KE1SEFEME200,2022,423624,4,Preferred
Preferred Fwd W/two-Tone Roof,FRONT_WHEEL_DRIVE,HYUNDAI,,KE1SEFEME266,2022,423625,4,Preferred
Ultimate Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,,KE1SEFEME400,2022,423626,4,Ultimate
2.0t Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,,KO1SDF20DX39,2022,426698,4,
Essential 8-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,,PA1LAA38B100,2022,422690,4,Essential
Preferred 8-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,,PA1LAA38B200,2022,422691,4,Preferred
Luxury 8-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,,PA1LAA38B300,2022,422692,4,Luxury
Luxury 7-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,,PA1LAA38B391,2022,422693,4,Luxury
Ultimate Calligraphy 7-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,,PA1LAA38B477,2022,422694,4,Ultimate Calligraphy
Ultimate Calligraphy W/beige 7-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,,PA1LAA38B478,2022,422695,4,Ultimate Calligraphy
